city,n_rows,n_buildings,property_type,year_built,gross_floor_area_sqft,site_eui_kbtu_sqft,source_eui_kbtu_sqft,energy_star_score,electricity_kwh,natural_gas_kbtu,latitude,longitude,total_ghg_emissions_mtco2e
nyc,290326,60983,100.0,100.0,80.0,97.5,97.8,74.7,77.9,89.2,83.8,83.8,95.8
la,57962,9600,100.0,100.0,100.0,98.6,98.9,71.1,0.0,0.0,96.0,96.0,100.0
seattle,33848,3817,100.0,100.0,100.0,98.7,98.7,75.1,99.7,62.9,100.0,100.0,100.0
dc,24124,4205,100.0,97.0,100.0,99.9,100.0,80.2,100.0,100.0,100.0,100.0,100.0
chicago,22869,3466,99.2,99.2,99.2,99.8,96.2,85.8,99.9,93.5,100.0,100.0,94.9
sf,18315,2157,100.0,97.1,100.0,99.9,97.9,61.3,62.8,54.6,100.0,100.0,99.9
boston,17818,7553,99.9,41.9,91.4,99.2,0.0,66.9,32.1,49.2,0.0,0.0,60.3
sydney,5988,994,0.0,0.0,79.7,79.7,0.0,95.8,0.0,0.0,95.5,95.5,100.0
melbourne,3661,748,0.0,0.0,83.0,82.8,0.0,94.9,0.0,0.0,95.5,95.5,100.0
brisbane,2779,519,0.0,0.0,85.1,85.1,0.0,92.7,0.0,0.0,91.9,91.9,100.0
denver,2765,2765,100.0,100.0,99.7,99.9,0.0,71.4,100.0,100.0,94.4,94.4,100.0
singapore,2733,894,100.0,70.1,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
perth,2118,350,0.0,0.0,87.7,87.6,0.0,92.6,0.0,0.0,96.7,96.7,100.0
portland,1894,865,100.0,99.2,99.9,99.7,0.0,62.1,67.1,57.9,0.0,0.0,99.5
philadelphia,1450,1450,94.9,94.9,82.3,99.7,99.9,65.9,99.4,84.3,84.8,84.8,99.9
canberra,1103,190,0.0,0.0,84.4,84.4,0.0,95.4,0.0,0.0,96.5,96.5,100.0
adelaide,950,203,0.0,0.0,86.9,86.9,0.0,95.7,0.0,0.0,96.0,96.0,100.0
gold_coast,204,43,0.0,0.0,79.9,79.9,0.0,78.9,0.0,0.0,95.1,95.1,100.0
hobart,159,57,0.0,0.0,86.2,86.2,0.0,99.4,0.0,0.0,95.0,95.0,100.0
newcastle,111,25,0.0,0.0,88.3,88.3,0.0,99.1,0.0,0.0,90.1,90.1,100.0
darwin,108,36,0.0,0.0,91.7,91.7,0.0,96.3,0.0,0.0,97.2,97.2,100.0
wollongong,97,21,0.0,0.0,79.4,79.4,0.0,96.9,0.0,0.0,84.5,84.5,100.0
townsville,75,17,0.0,0.0,94.7,94.7,0.0,93.3,0.0,0.0,93.3,93.3,100.0
cairns,52,9,0.0,0.0,96.2,96.2,0.0,98.1,0.0,0.0,90.4,90.4,100.0
geelong,46,15,0.0,0.0,91.3,91.3,0.0,93.5,0.0,0.0,93.5,93.5,100.0
port_macquarie,36,5,0.0,0.0,75.0,75.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0
